Instance,Instance Size,Pivoting Rule,Neighborhood,Initial Solution,Run,Deviation (%),Time (s)
ta086,100,first,transpose,srz,9,8.0726,0.756
ta086,100,first,transpose,srz,10,7.6164,1.7024
ta086,100,best,transpose,random,1,24.3233,0.0469
ta086,100,best,transpose,random,2,23.7943,0.018
ta086,100,best,transpose,random,3,27.3122,0.0248
ta086,100,best,transpose,random,4,28.4766,0.0359
ta086,100,best,transpose,random,5,30.2679,0.0256
ta086,100,best,transpose,random,6,25.0472,0.0303
ta086,100,best,transpose,random,7,23.773,0.014
ta086,100,best,transpose,random,8,24.5473,0.0461
ta086,100,best,transpose,random,9,24.9329,0.0525
ta086,100,best,transpose,random,10,25.3545,0.0133
ta086,100,first,exchange,random,1,15.9115,0.9987
ta086,100,first,exchange,random,2,13.3955,0.9637
ta086,100,first,exchange,random,3,14.52,0.6386
ta086,100,first,exchange,random,4,17.3164,0.7189
ta086,100,first,exchange,random,5,17.2186,0.616
ta086,100,first,exchange,random,6,17.0207,0.6207
ta086,100,first,exchange,random,7,16.9271,0.6398
ta086,100,first,exchange,random,8,16.4364,1.5877
ta086,100,first,exchange,random,9,13.8191,0.7632
ta086,100,first,exchange,random,10,14.8034,1.5943
ta086,100,first,exchange,srz,1,8.1069,0.738
ta086,100,first,exchange,srz,2,7.9303,0.6743
ta086,100,first,exchange,srz,3,7.3042,1.3528
ta086,100,first,exchange,srz,4,8.8286,0.7733
ta086,100,first,exchange,srz,5,7.9739,0.9205
ta086,100,first,exchange,srz,6,7.683,1.2388
ta086,100,first,exchange,srz,7,8.074,0.9961
ta086,100,first,exchange,srz,8,7.0864,1.2982
ta086,100,first,exchange,srz,9,8.2786,0.6754
ta086,100,first,exchange,srz,10,7.27,1.0058
ta086,100,best,transpose,srz,1,8.099,0.3026
ta086,100,best,transpose,srz,2,8.099,0.2951
ta086,100,best,transpose,srz,3,8.099,0.2988
ta086,100,best,transpose,srz,4,8.099,0.2876
ta086,100,best,transpose,srz,5,8.099,0.3483
ta086,100,best,transpose,srz,6,8.099,0.3253
ta086,100,best,transpose,srz,7,8.099,0.2989
ta086,100,best,transpose,srz,8,8.099,0.2934
ta086,100,best,transpose,srz,9,8.099,0.2949
ta086,100,best,transpose,srz,10,8.099,0.2959
ta082,100,best,exchange,random,1,24.9696,1.1883
ta082,100,best,exchange,random,2,23.6134,1.949
ta082,100,best,exchange,random,3,24.0268,2.6922
ta082,100,best,exchange,random,4,23.2024,1.1342
ta082,100,best,exchange,random,5,28.6023,1.1611
ta082,100,best,exchange,random,6,22.7615,3.1246
ta082,100,best,exchange,random,7,25.8542,1.9503
ta082,100,best,exchange,random,8,22.7833,2.7221
ta082,100,best,exchange,random,9,24.2276,1.1841
ta082,100,best,exchange,random,10,21.9852,1.1639
ta106,200,best,exchange,srz,1,6.6864,5.7211
ta106,200,best,exchange,srz,2,6.6864,5.4809
ta106,200,best,exchange,srz,3,6.6864,5.2748
ta106,200,best,exchange,srz,4,6.6864,5.189
ta106,200,best,exchange,srz,5,6.6864,5.1994
ta106,200,best,exchange,srz,6,6.6864,5.1911
ta106,200,best,exchange,srz,7,6.6864,5.2031
ta106,200,best,exchange,srz,8,6.6864,5.1919
ta106,200,best,exchange,srz,9,6.6864,5.2005
ta106,200,best,exchange,srz,10,6.6864,5.2264
ta058,50,first,transpose,random,1,15.2112,0.1803
ta058,50,first,transpose,random,2,18.6082,0.3031
ta058,50,first,transpose,random,3,21.2231,0.2121
ta058,50,first,transpose,random,4,18.8433,0.1602
ta058,50,first,transpose,random,5,16.6505,0.2285
ta058,50,first,transpose,random,6,18.209,0.1257
ta058,50,first,transpose,random,7,17.0179,0.236
